national_number	description
023	A long, serpentine creature with a purple, scaled body. Its underbelly is yellow and segmented. It has large, yellow, slit-pupil eyes and a wide mouth. A yellow, rattle-like fin is on the end of its tail.
024	A very large, purple cobra with a massive, spread hood. The hood has an intimidating, face-like pattern on it. It has a sleek, powerful body, sharp fangs, and piercing red eyes.
025	A small, bipedal rodent-like creature with bright yellow fur. It has long, black-tipped ears, two round red pouches on its cheeks, and a long, lightning-bolt shaped tail.
026	An orange, bipedal rodent, larger and plumper than its pre-evolution. It has a small patch of white fur on its belly. Its ears are smaller and mostly brown, and it has a long, thin tail ending in a large, orange, leaf-shaped tip.
027	A bipedal creature with a body covered in tough, yellow, brick-patterned plates. It has long, sharp black claws, a pointed snout, and blue eyes.
028	A large, bipedal creature covered in thick, sharp brown quills that protrude from its back. It has long, powerful claws for digging and a tan underbelly.
029	A small, quadrupedal creature with light blue skin and darker blue spots. It has large, red eyes, prominent front teeth, and large, sensitive ears. Small, poisonous barbs cover its back.
030	A medium-sized, bipedal creature with tough, light-blue scales. It has larger ears, a more powerful build, and a small horn on its forehead. A row of toxic spines runs down its back.
031	A large, bipedal creature covered in hard, steel-like blue scales. It is a powerful, bulky monster with a large horn on its snout and a thick, powerful tail. A series of large, venomous spines runs along its spine.
032	A small, quadrupedal creature with purple-pink skin and darker spots. It has large, spiky ears, red eyes, and a small horn on its forehead. Large, venomous spines run down its back.
033	A medium-sized, bipedal creature with a tough, purple hide. Its horn is larger and the spines on its back are bigger and more toxic. It has an aggressive stance.
034	A massive, bipedal reptilian monster with a thick, dark purple armored hide. It has a huge, powerful horn on its forehead, a stocky build with a thick tail, and large, sharp claws.
035	A small, bipedal creature with a star-shaped body and pink skin. It has short, stubby limbs, two small wings on its back, and a cute face. It has a single, curled hair on its head.
036	A larger, bipedal creature with a stout, pink body and a pointed snout. It has larger wings on its back and possesses long, pointed ears with brown tips. It has a large, claw-like nail on each hand.
037	A small, quadrupedal fox-like creature with reddish-brown fur. It has a cream-colored, fluffy crest of fur on its head and six long, orange, curled tails with darker tips.
038	A large, elegant, quadrupedal fox with sleek, golden-white fur. It has nine long, flowing tails, each tipped with a golden-orange color. It has a slender body and piercing red eyes.
039	A pink, spherical creature with a rubbery texture. It has very short, stubby arms, large pointed ears with black insides, and huge, blue eyes. It has a small tuft of curled fur on its forehead.
040	A large, pink, balloon-like bipedal creature with a soft, rubbery body. It has long, rabbit-like ears, large blue eyes, and a signature curl of fur on its forehead.
041	A small, blue, bat-like creature with a round body. It has no visible eyes, a mouth full of small fangs, and massive, purple, triangular ears. Its legs are thin and spindly.
042	A large, blue bat with a furry body. Its mouth is almost always open, revealing fangs. Its purple wings are huge, and its ears are smaller relative to its body, but still large. It has developed a pair of small, black eyes.
043	A small, plant-like creature that walks on two root-like feet. Its body is dark blue with red, circular eyes. A clump of five long, green leaves grows from the top of its head.
044	A bipedal, plant-like creature with blue skin. It has a drool of sweet-smelling nectar leaking from its mouth. The leaves on its head have sprouted a single, round, red-and-white-spotted flower bud.
045	A bipedal creature with a blue body. On its head sits a huge, red, multi-petaled flower with large, white spots. The flower's petals are heavy, causing its head to droop.
046	A small, orange, insect-like creature with a large, mushroom-like fungus growing on its back. It has six small legs, and large, white, pupil-less eyes. The mushroom has red and yellow spots.
047	A larger, orange, crab-like insectoid. The mushroom on its back has completely taken over its body, becoming a single, massive, red-and-yellow-spotted fungus. The creature's eyes are blank and white.
048	A small, round, furry creature with a purple body. It has large, red compound eyes, a small horn on its head, and two small fangs. It is covered in a fine, fuzzy purple fur.
049	A large, moth-like insectoid with a light-purple body. It has massive, dusty, lavender-colored wings with complex patterns. Its eyes are huge and compound, and it has a pair of long, feathery antennae.
050	A simple, brown, mole-like creature with a large, pink nose. It is mostly subterranean, with only its head and upper body visible. It has small, black eyes.
051	Three identical, brown, mole-like creatures with large pink noses, joined together at their base. They move in unison, emerging from and burrowing into the ground with great speed.
052	A small, feline creature with sleek, cream-colored fur. It has a small, black-tipped ears, long whiskers, and a golden, coin-like charm embedded in its forehead.
053	A tall, slender, bipedal feline creature with cream-colored fur. It is elegant and poised, with a long, coiled tail. The golden charm on its forehead is now larger and more prominent.
054	A yellow, bipedal creature resembling a duck or a platypus. It has a wide, flat bill, vacant-looking eyes with tiny pupils, and three strands of black hair on its head.
055	A large, blue, bipedal creature resembling a duck or platypus. It has a powerful build, a sharp, red gem on its forehead, and webbed hands with long, sharp claws.
056	A bipedal, pig-like primate with a spherical, hairy brown body. It has a pink, pig-like snout, triangular ears, and walks on two powerful legs. It has a coiled tail.
057	A large, bipedal ape-like creature with shaggy, off-white fur. It has a pig-like nose, and wears black, metallic-looking bands on its wrists and ankles. It has a powerful, muscular build.
058	A quadrupedal, canine-like creature with orange fur and black stripes. It has a shaggy, cream-colored mane covering its chest and head, and a fluffy, cream-colored tail.
059	A very large, majestic, canine creature with orange fur and striking black stripes. It has a long, flowing mane of cream-colored fur that billows as it runs. It has a powerful and noble appearance.
060	A small, spherical, tadpole-like creature with blue skin. It has a long, thin tail with a translucent fin. It has large, hypnotic, black-and-white spiral pattern on its belly.
061	A bipedal, tadpole-like creature that has grown arms. It has a smooth, blue-black body, a spherical shape, and wears white gloves on its hands. The hypnotic spiral remains on its belly.
062	A large, bipedal frog-like creature with a powerful, athletic build. It is mostly blue and white, with thick muscles. The hypnotic spiral on its belly is still present. It wears white, glove-like markings on its hands.
063	A small, bipedal creature with a yellow, humanoid body. It has a large head, closed, fox-like eyes, and a thick, brown tail. It is often seen holding a silver spoon.
064	A humanoid creature with a segmented, brown, armor-like torso and a large, yellow head. It has long, pointed ears, a mustache-like growth, and two long brown pauldrons on its shoulders. It holds two silver spoons.
065	A tall, slender, humanoid creature with a yellow and brown body. It has a very long, drooping mustache, pointed ears, and a sleek, agile form. It wields two large, silver spoons as psychic amplifiers.
066	A gray, bipedal, humanoid creature with four powerful arms and a muscular body. It has a reptilian head with red eyes and bony ridges on its forehead. It wears a black, brief-like garment.
067	A larger, more muscular version of its pre-evolution. It is a four-armed, gray, humanoid creature with more defined muscles, bony crests on its head, and a powerful, intimidating presence.
068	A massive, four-armed, gray-skinned humanoid monster. Its muscles are incredibly large and defined. It has a reptilian face with red eyes and prominent ridges. It wears a golden, championship-like belt.
069	A small, plant-like creature with a flexible, brown stem for a body. It has two green leaves for arms and a large, yellow, bell-shaped mouth for a head.
070	A plant-like creature resembling a pitcher plant. It has a yellow, bell-shaped body with green spots, leafy arms, and a vine-like tendril extending from its head. A large, gaping mouth is at the top.
071	A large, yellow pitcher plant with a huge, gaping mouth lined with sharp teeth. It has large, leaf-like arms and a long, flexible green vine on its head. It is rooted to the ground.
072	A blue, jellyfish-like creature with two long, stinging tentacles. It has a translucent, dome-shaped bell and two large, red, crystalline orbs on its body.
073	A massive, jellyfish-like creature with a spiky, blue-and-white bell. It has numerous long, venomous tentacles and a pair of large, red, jewel-like orbs. Its appearance is menacing and formidable.
074	A floating, spherical rock with two muscular arms. It has a rugged, gray, stone body and a perpetually angry facial expression with furrowed brows and a frowning mouth.
075	A larger, more defined creature made of rock. It has a boulder-like body, two main arms, and a smaller, secondary pair of arms. Its rocky form is more chiseled and detailed.
076	A massive, vaguely humanoid creature made of dark gray boulders. It has a large, craggy body, four arms, and a reptilian head made of stone. Its lower body is a single, large boulder.
077	A quadrupedal, equine creature with cream-colored fur. Its mane and tail are made of bright, flickering flames. It has a single, small horn on its forehead and powerful legs.
078	A large, powerful, unicorn-like horse with a cream-colored coat. Its mane and tail are a roaring blaze of fire. It has a single, prominent, sharp horn on its forehead.
079	A pink, dim-witted, quadrupedal creature with a dopey, vacant expression. It has a long, cream-colored snout and a tail with a cream-colored tip. It is often seen near water.
080	A bipedal creature formed when a Shellder bites a Slowpoke's tail. It's a pink, dopey creature walking on two legs, with a large, spiral-shaped, gray shell permanently attached to its tail, forcing it to stand upright.
081	A mechanical, spherical creature made of gray metal. It has a single, large central eye, and two horseshoe magnets on its sides that function as arms. A large screw is on top of its head.
082	Three Magnemite joined together by a strong magnetic force. It consists of three metallic spheres, each with its own eye and magnets, forming a triangular or linear cluster.
083	A brown, duck-like bird with a short, blunt beak. It is always seen carrying a green leek or spring onion, which it uses as a tool or weapon. It has a distinctive V-shaped mark on its forehead.
084	A brown, two-headed, ostrich-like bird. It has two long necks, each with its own head and brain. It has shaggy brown feathers and powerful, two-toed legs.
085	A three-headed, ostrich-like bird. It has a shaggy, brown-feathered body and three long necks, each topped with a head that has a sharp beak and angry red eyes.
086	A white, pinniped-like creature with a smooth, sleek body. It has a small horn on its forehead, a cat-like face with whiskers, and a fin-like tail. It is covered in thick, white fur.
087	A large, white, sea lion-like creature. It has a graceful, serpentine body and a prominent, sharp horn on its forehead. Its fur is pure white, and it has a powerful, elegant presence.
088	A purple, amorphous blob of sludge. It has a large, gaping mouth and two large, white eyes with small black pupils. It lacks any defined shape and constantly oozes.
089	A massive, amorphous pile of purple sludge with a grotesque, wide-open mouth. Several toxic, skull-and-crossbones-like markings appear on its body. It has long, sludge-like arms and a pair of large, menacing eyes.
090	A bivalve mollusk with a hard, purple, spiky shell. A small, black, pearl-like creature with two beady eyes is visible inside when the shell is open. Its tongue is always lolling out.
091	A menacing, black, bivalve creature encased in a formidable, jagged, gray shell covered in sharp spikes. It has a pair of angry, horn-like protrusions and two piercing eyes visible from within its spiky armor.
092	A spherical, floating creature made of purple gas. It has a mischievous, grinning face with large, white eyes and two fanged teeth. It is surrounded by a hazy, purple aura.
093	A dark purple, ghostly creature with a long tongue and a sinister grin. It has a spiky, ethereal body and detached, three-fingered hands that float in front of it.
094	A bipedal, shadowy creature with a roundish body and short, pointed limbs. It has spiky fur on its back, glowing red eyes, and a wide, sinister grin that stretches across its face.
095	A colossal creature composed of a series of gigantic, interconnected gray boulders, forming a massive serpentine body. It has a rugged, rocky head with a prominent jaw and deep-set eyes.
096	A stout, bipedal creature with a yellow body and a long, trunk-like nose. It has a brown, triangular pattern on its belly and short, stubby limbs. It is often seen holding a small, silver pendulum.
097	A tall, lanky, yellow humanoid with a very large, hooked nose, and long, pointed ears. It has a ruff of white fur around its neck and is typically seen swinging a circular pendulum.
098	A small, orange crab with large, powerful pincers. It has four small legs and two large eyes on stalks that protrude from the top of its round body.
099	A large, powerful crab with one enormous, disproportionately large pincer and one smaller one. Its body is red on top and cream-colored on the bottom. It has a spiky crown on its head.
100	A spherical object that perfectly resembles a Poké Ball. It is red on top and white on the bottom, with a black band and a central button. It has two small, white eyes.
101	A spherical object that perfectly resembles a Poké Ball. It is red on top and white on the bottom, with a black band and a central button. It has two small, white, often angry-looking eyes.
102	A cluster of six pink, egg-like creatures. Each has a unique facial expression, and some show cracks on their shells. They are typically gathered in a small group on the ground.
103	A very tall, walking palm tree. It has a thick, brown trunk for a body and two stout legs. Three round, yellow, coconut-like heads, each with a distinct facial expression, sit atop its body, crowned by large, green palm leaves.
104	A small, bipedal, brown creature that wears a bone skull on its head, hiding its true face. It has a lonely appearance and carries a bone, which it uses as a club.
105	A fierce, bipedal, brown creature. The bone skull it once wore has now become an integral part of its own head. It has a more powerful build, a spiky tail, and wields a large bone as a formidable weapon.
106	A brown, humanoid creature with an egg-shaped body and no discernible head. Its arms and legs are cream-colored and coiled like springs, allowing them to stretch to great lengths for kicking.
107	A brown, humanoid creature with the appearance of a boxer. It has purple, pauldron-like shoulders and wears a small, gray, kilt-like garment. Its hands are permanently shaped into red, padded boxing gloves.
108	A large, bipedal, pink creature with a very stout body and a thick tail. Its most prominent feature is an incredibly long, prehensile tongue. It has a cream-colored, curved marking on its chest.
109	A floating, spherical, purple creature with a body resembling a naval mine, covered in crater-like pores. It has a wide, mischievous grin and large eyes, with a yellow skull-and-crossbones mark below its face.
110	A creature composed of two conjoined, purple, spherical bodies covered in gaseous vents. The main head is larger, while a smaller head is attached to its side. Both have vacant, grinning expressions.
111	A quadrupedal, rhinoceros-like creature made of gray, rocky plates. It has a short, stout body, a small horn on its snout, and a drill-like tail.
112	A massive, bipedal, rhinoceros-like monster covered in thick, gray, rocky armor. It has a powerful, upright stance, a large, sharp horn on its nose that resembles a drill, and a thick, powerful tail.
113	A large, pink, ovoid creature with a very gentle appearance. It has stubby arms and legs, and holds a single, white egg in a pouch on its belly. It has small, tufted "hair" on the sides of its head.
114	A mysterious creature composed of a tangled mass of blue, vine-like tendrils. Only its large, white eyes are visible from within the vines. It walks on two large, red, boot-like feet.
115	A massive, bipedal, reptilian creature with a tough, brownish-gray hide. It has a protective, pouch-like belly where it carries a smaller, juvenile version of itself. It has powerful hind legs and a thick tail.
116	A small, blue, seahorse-like creature with a curled tail. It has a long snout, small wings on its back, and a spiny dorsal fin. Its belly is cream-colored.
117	A large, blue seahorse with a tough, spiky exoskeleton. It has a more rigid body than its pre-evolution, with sharp, pointed fins on its back and head. Its belly is covered in cream-colored scales.
118	A white-and-orange goldfish. It has flowing, graceful fins, large, blue eyes, and a prominent, sharp horn on its forehead. Its body is predominantly white with large orange patches.
119	A large, powerful, goldfish-like creature. Its body is orange and black with white fins. It has a powerful, flowing tail and a large, sharp, drill-like horn on its head. Its expression is fierce.
120	A creature with a geometric, five-pointed star shape. It has a brown, crystalline body with a golden frame. In its center is a red, glowing, gem-like core.
121	A creature composed of two, five-pointed, star-shaped bodies stacked on top of each other. The front star is purple, the back star is larger and spins. It has a large, faceted, red gem in its center.
122	A humanoid creature with a pink, spherical body and thin, white limbs. It has blue, mitten-like hands and pointed, blue, elf-like shoes. It has a strange, mime-like face with red cheek-spots.
123	A bipedal, insectoid creature with a green, segmented exoskeleton. It has a reptilian head, large, white wings, and two massive, sharp scythes for forearms.
124	A humanoid creature with a purple dress-like body and a pink face. It has long, blonde hair, large, saucer-like eyes, and large, pink lips. Its hands are white and mitten-like.
125	A bipedal, yellow creature covered in black, tiger-like stripes. It has a stocky build, two long antennae on its head, and a generally fuzzy, electrified appearance.
126	A bipedal, fiery creature with a body made of reddish-orange, molten rock. It has a duck-like beak, a flame-like crest on its forehead, and a stocky, powerful build.
127	A massive, stag beetle-like insectoid with a huge, black exoskeleton. Its most prominent feature is a giant, vise-like pair of horns on its head, lined with spikes. It has a menacing, powerful appearance.
128	A bovine creature with a light brown, furry body and three distinct, long tails. It has a gray, shaggy mane around its neck and a head with three white marks on its forehead and a pair of sharp horns.
129	A medium-sized, reddish-orange fish, known for its vacant expression and weak, floppy body. It has large, empty-looking eyes, yellow, barbel-like whiskers, and a yellow, crown-shaped dorsal fin.
130	A colossal, serpentine, sea dragon-like creature with a long, blue body and a cream-colored underbelly. It has a fierce, three-pronged crest on its head, a gaping mouth, and small, dark blue fins running down its back.
131	A large, gentle, plesiosaur-like sea creature with a blue, spotted hide and a cream-colored underbelly. It has large, intelligent eyes, a long neck, and a large, gray, spiky shell on its back.
132	A small, amorphous, pinkish-purple blob with a gelatinous body. It has two tiny, black, dot-like eyes and a simple, stringy mouth. It can transform its cellular structure to mimic other beings.
133	A small, quadrupedal, mammalian creature with fluffy, brown fur. It has a bushy, cream-colored collar of fur around its neck, long, rabbit-like ears, and large, brown eyes.
134	A sleek, quadrupedal, aquatic creature with blue skin. It has a dark blue ruff around its neck, a long, mermaid-like tail with a fin, and fin-like ears.
135	A quadrupedal, canine-like creature with a body covered in sharp, yellow, spiky fur. It has a spiky ruff of white fur around its neck and a sleek, angular build.
136	A quadrupedal, fox-like creature with flame-orange fur. It has a fluffy, yellow collar of fur around its neck, a large, bushy yellow tail, and a tuft of yellow fur on its head.
137	A digital creature made of pink and blue polygonal shapes. It has a spherical head that floats separately from its blocky, bird-like body. It has a distinctly artificial and geometric appearance.
138	A small, prehistoric, aquatic creature resurrected from a fossil. It has a blue, squid-like body with numerous tentacles and a pair of large, circular eyes. It is housed within a light-brown, spiral-shaped shell.
139	A large, prehistoric, aquatic creature with a nautilus-like, spiral shell. The shell is now spikier. A large, blue, squid-like body with tentacles and sharp, predatory eyes protrudes from the shell's opening.
140	A prehistoric creature resurrected from a fossil, resembling a trilobite. It has a hard, black, dome-shaped shell, two large, glowing red eyes that stare out from the darkness underneath, and small, sharp claws.
141	A bipedal, prehistoric creature with a sleek, black, segmented body. It has a crescent-shaped head and two huge, sharp, scythe-like claws for arms. Its posture is hunched and predatory.
142	A large, draconic, prehistoric creature resurrected from amber. It has a gray, reptilian body, large, purple, leathery wings, and a sharp, arrow-headed tail. Its jaw is wide and filled with sharp teeth.
143	A colossal, bipedal creature with a huge, spherical body. It has dark teal-blue skin, a cream-colored belly, and closed eyes, giving it a perpetually sleeping appearance. Its feet are large and have three claws.
144	A large, elegant avian creature with sky-blue plumage. It has a three-plumed, crystalline crest on its head, piercing red eyes, and a very long, flowing, ribbon-like tail. Its wings appear to be made of ice.
145	A large, avian creature with spiky, yellow and black plumage. Its wings and tail are jagged and sharp, resembling lightning bolts. It has a long, pointed beak and small, triangular black eyes.
146	A magnificent, phoenix-like bird with golden-yellow plumage. Its head is topped with a three-pronged crest of flames, and its wings and long, flowing tail are perpetually engulfed in fire.
147	A small, serpentine, aquatic creature with a sleek, blue body and a white underbelly. It has a white, three-pronged fin on each side of its head, a small horn, and a white snout.
148	A long, elegant, serpentine creature with a blue, scaled body and a white underside. It has small, wing-like fins on its head and a series of smooth, pearl-like orbs on its neck and tail.
149	A large, gentle, bipedal dragon with smooth, orange skin. It has a pair of small, green wings on its back, a long tail, and two long, thin antennae on its head with a small horn between them.
150	A tall, bipedal, humanoid creature with a feline-like appearance. It has smooth, grayish-purple skin, a long, thick purple tail, and a pronounced chest. A thick tube of flesh connects the back of its skull to its spine. It has piercing purple eyes.
151	A small, pink, feline-like creature with a long, thin tail that widens at the tip. It has a short snout, large blue eyes, and large hind feet. Its body is covered in a fine layer of short fur.
152	A small, quadrupedal, reptilian creature with pale green skin. It has a large, dark green leaf on its head, red eyes, and a necklace of green buds around its neck.
153	A sleek, quadrupedal creature with a pale yellow body. It retains the large leaf on its head and the necklace of buds, but a single, pink flower has begun to bloom from the center bud. Its neck is longer and more graceful.
154	A large, quadrupedal, dinosaur-like creature with a yellow body. Two large, pink, hibiscus-like flowers with a central stamen bloom on its neck, and it has two long, antenna-like stamens sprouting from its head.
155	A small, bipedal creature with a long, slender body. Its back is bluish-black, and its underbelly is cream-colored. Four red, fiery spots are on its back from which flames erupt.
156	A long-bodied, quadrupedal creature resembling a weasel. It is primarily cream-colored, with a mane of flames erupting from around its neck. Its back is a dark blue-green.
157	A large, bulky, quadrupedal badger-like creature with a dark blue-green back and a cream-colored underside. It has a massive, explosive collar of fire erupting from around its neck and a powerful, intimidating stance.
158	A small, bipedal, crocodilian creature with blue skin. It has a large jaw, red eyes, and a series of sharp, red spines on its back and tail. It has a yellow, V-shaped marking on its chest.
159	A larger, bulkier, bipedal crocodilian with blue skin. The red spines on its back are larger and more pronounced. It wears a yellow, loincloth-like pattern of scales on its lower body.
160	A massive, bipedal, crocodilian monster with a very powerful, bulky build. It has blue skin with large, sharp, red plates on its back, tail, and head. Its jaw is enormous and lined with sharp teeth.
161	A small, quadrupedal creature resembling a ferret. It has cream-colored fur with brown ring markings on its body and a brown-tipped, bushy tail. It has brown ears and dark eyes.
162	A very long and slender, bipedal creature resembling a ferret standing upright. It has a sleek, cream-colored body with brown markings, a long neck, and small limbs.
163	A small, avian creature resembling an owl. It has a round, brown body, a cream-colored face with large, red-rimmed eyes. A single, large feather on each eyebrow resembles the hands of a clock.
164	A large, imposing owl with wide, powerful wings. It has brown plumage, a light-colored underside, and piercing red eyes. The feathers above its eyes are long and "V" shaped, resembling sharp eyebrows.
165	A bipedal insectoid resembling a ladybug. It has a red, spotted shell on its back that covers its wings. It has five stars on its back. Its face is humanoid with large, blue eyes.
166	A larger, more humanoid, bipedal ladybug-like creature. Its red, spotted shell has split to form a four-winged cape. It has a more defined body structure and two pairs of arms.
167	A small, spider-like creature with a green body. Its abdomen resembles a smiley face, with black spots for eyes and a mouth-like marking. It has a small, white horn on its head.
168	A large, purple spider with a fearsome, face-like pattern on its abdomen. It has long, yellow-and-purple-striped legs, large red eyes, and a sharp horn on its head.
169	A large, bat-like creature with a purple, four-winged body, resembling a cross. It has a gaping mouth with sharp fangs and a more streamlined, aerodynamic shape than its pre-evolutions.
170	A small, blue, anglerfish-like creature. It has a round body, two fin-like feet, and a yellow, teardrop-shaped marking around each eye. A long, thin antenna with two yellow orbs protrudes from its head.
171	A large, blue, dolphin-like anglerfish with a smooth, sleek body. It has a large, yellow, eye-mask-like marking and a long antenna on its head ending in a bright, yellow orb.
172	A very small, pale yellow, rodent-like creature. It is a smaller, more rounded version of Pikachu, with small black-tipped ears and pink cheek pouches. Its tail is short and jagged.
173	A small, pink, star-shaped creature, smaller and chubbier than Clefairy. It has a very simple, cute appearance with tiny, brown ears and a single curled tuft of hair on its head.
174	A very small, pink, spherical creature. It is a smaller, more rounded version of Jigglypuff, with tiny, stubby arms and large, red eyes.
175	A small creature whose body is mostly encased in a white, spiked eggshell. Only its head, arms, and feet are visible. It has a round head with small, black eyes and a crown-like pattern of red and blue triangles on its shell.
176	A white, bipedal, fairy-like creature with a bird-like shape. It has small, stubby wings, a rounded body, and a head with three spikes. Red and blue triangular patterns are on its body.
177	A small, spherical, green bird-like creature with a single, large eye in the center of its body. It has two small, white wings and two long, thin legs, causing it to balance like a pogo stick.
178	A large, green, totem-pole-like creature. It has a large central eye, and its body is adorned with colorful, wing-like patterns and geometric shapes. It has two sets of wings, one for flying and one for support.
179	A small, quadrupedal sheep whose fleece is made of fluffy, cream-colored wool. Its skin is blue, and it has a yellow-and-black-striped tail with a red orb at the tip.
180	A pink, bipedal sheep that has lost most of its wool. It has smooth, pink skin, a short, white mane of wool around its neck, and a yellow-and-black-striped tail with a blue orb at the tip.
181	A tall, bipedal, kangaroo-like creature with smooth, yellow skin. It has a long, black-and-yellow-striped tail with a red orb at its tip. It has long, black ears and a white belly.
182	A small, green, bipedal creature with a hula-dancer-like appearance. It wears a skirt made of green leaves and has two yellow, maraca-like flowers in its hands. A single, red flower grows on its head.
183	A small, spherical, blue, rodent-like creature with a rubbery texture. It has large, round, white ears, a thin, black, zig-zag tail, and a large, white, puffy ball at the end of its tail.
184	A bipedal, egg-shaped, blue rodent. It has a large, white, circular pattern on its belly. It has long, rabbit-like ears and a thin, black, zig-zag tail with a blue orb at the tip.
185	A brown, tree-like creature that perpetually holds a stiff, straight pose to mimic a tree. It has long, thin arms with three green, spherical growths on the ends of its "hands" resembling foliage.
186	A large, green, bipedal frog with a very powerful and confident look. It has a large, curled crest of skin on its head, yellow markings on its body, and a light blue underbelly.
187	A small, round, green creature with large, red eyes and two long, leaf-like propellers sprouting from its head. Its body is very light and often carried by the wind.
188	A pink, cat-like creature with three propeller-like growths on its body: two dandelion-puff-like "ears" and one flower-like tail. It has simple, dot-like eyes.
189	A blue, spherical creature with two large, cotton-puff pom-poms for hands. A dandelion-like tuft grows on its head, and it has a small, fluffy tail. It has a cheerful expression with yellow eyes.
190	A purple, monkey-like creature with a long, prehensile tail that ends in a hand-like appendage. It has a large, smiling mouth and a tuft of hair on its head.
191	A small, seed-like creature with a yellow body and a single, small sprout on its head. It has small, black eyes and a simple, jagged mouth.
192	A bright yellow, bipedal plant creature resembling a sunflower. It has a round head surrounded by large, yellow petals, and its body is green with a leaf-like collar. It has a perpetual, wide smile.
193	A large, green, dragonfly-like insectoid. It has two massive, red, globe-like compound eyes that take up most of its head, and two pairs of powerful, transparent wings.
194	A small, amphibious creature with a light blue, gelatinous body. It has no arms, walks on two small feet, and has a large, smiling mouth and simple, black eyes. It has three purple, gill-like appendages on its head.
195	A large, bipedal, amphibious creature with a brown, slimy body and a blue underbelly. It has a dopey, vacant expression, round blue fins on its head and back, and a finned tail.
196	A sleek, quadrupedal, feline-like creature with fine, lavender-colored fur. It has very large, pointed ears, a forked tail, and a single, red gem embedded in its forehead.
197	A sleek, black, feline-like creature. It has a slender body, piercing red eyes, and a series of glowing yellow rings on its ears, tail, and forehead. These rings glow in the dark.
198	A small, dark-blue, avian creature resembling a crow with a witch's hat. Its head and "hat" are a single feature, with a yellow, crooked beak and a tuft of feathers that looks like a hat's brim.
199	A bipedal creature where a Shellder has latched onto its head like a crown. It's a pink, dopey creature with a large, conical, spiked shell on its head, with a red gem on the front. A frill of white fur hangs around its neck.
200	A ghostly creature resembling a floating, dark-teal head with long, flowing, hair-like appendages. It has large, red eyes and a necklace of red orbs that float around its neck.
201	A thin, black, symbolic creature resembling a letter of the alphabet or a punctuation mark. Each one has a single, large, central eye. They are flat and typically seen attached to walls in groups.
202	A tall, blue, gelatinous creature resembling a punching bag. It has a blob-like body, two squinting eyes, and no arms. It has a small, black tail with two distinct eyes on it.
